Region,Year,Cases
ANDAMAN AND NICOBAR,2000,0
ANDAMAN AND NICOBAR,2001,0
ANDAMAN AND NICOBAR,2002,0
ANDAMAN AND NICOBAR,2003,0
ANDAMAN AND NICOBAR,2004,0
ANDAMAN AND NICOBAR,2005,0
ANDAMAN AND NICOBAR,2006,0
ANDAMAN AND NICOBAR,2007,0
ANDAMAN AND NICOBAR,2008,0
ANDAMAN AND NICOBAR,2009,0
ANDAMAN AND NICOBAR,2010,25
ANDAMAN AND NICOBAR,2011,6
ANDAMAN AND NICOBAR,2012,19
ANDAMAN AND NICOBAR,2013,0
ANDAMAN AND NICOBAR,2014,0
ANDAMAN AND NICOBAR,2015,153
ANDAMAN AND NICOBAR,2016,92
ANDAMAN AND NICOBAR,2017,18
ANDAMAN AND NICOBAR,2018,49
ANDAMAN AND NICOBAR,2019,168
ANDAMAN AND NICOBAR,2020,98
ANDAMAN AND NICOBAR,2021,175
ANDAMAN AND NICOBAR,2022,1014
ANDAMAN AND NICOBAR,2023,846
ANDAMAN AND NICOBAR,2024,59
ANDHRA PRADESH,2000,5
ANDHRA PRADESH,2001,1
ANDHRA PRADESH,2002,61
ANDHRA PRADESH,2003,95
ANDHRA PRADESH,2004,230
ANDHRA PRADESH,2005,99
ANDHRA PRADESH,2006,197
ANDHRA PRADESH,2007,587
ANDHRA PRADESH,2008,313
ANDHRA PRADESH,2009,1190
ANDHRA PRADESH,2010,776
ANDHRA PRADESH,2011,1209
ANDHRA PRADESH,2012,1734
ANDHRA PRADESH,2013,0
ANDHRA PRADESH,2014,0
ANDHRA PRADESH,2015,3159
ANDHRA PRADESH,2016,3417
ANDHRA PRADESH,2017,4925
ANDHRA PRADESH,2018,4011
ANDHRA PRADESH,2019,5286
ANDHRA PRADESH,2020,925
ANDHRA PRADESH,2021,4760
ANDHRA PRADESH,2022,6391
ANDHRA PRADESH,2023,6453
ANDHRA PRADESH,2024,5555
ARUNACHAL PRADESH,2000,0
ARUNACHAL PRADESH,2001,0
ARUNACHAL PRADESH,2002,0
ARUNACHAL PRADESH,2003,0
ARUNACHAL PRADESH,2004,0
ARUNACHAL PRADESH,2005,0
ARUNACHAL PRADESH,2006,0
ARUNACHAL PRADESH,2007,0
ARUNACHAL PRADESH,2008,0
ARUNACHAL PRADESH,2009,0
ARUNACHAL PRADESH,2010,0
ARUNACHAL PRADESH,2011,0
ARUNACHAL PRADESH,2012,156
ARUNACHAL PRADESH,2013,0
ARUNACHAL PRADESH,2014,0
ARUNACHAL PRADESH,2015,1933
ARUNACHAL PRADESH,2016,13
ARUNACHAL PRADESH,2017,18
ARUNACHAL PRADESH,2018,1
ARUNACHAL PRADESH,2019,123
ARUNACHAL PRADESH,2020,1
ARUNACHAL PRADESH,2021,7
ARUNACHAL PRADESH,2022,114
ARUNACHAL PRADESH,2023,130
ARUNACHAL PRADESH,2024,20
ASSAM,2000,0
ASSAM,2001,0
ASSAM,2002,0
ASSAM,2003,0
ASSAM,2004,0
ASSAM,2005,0
ASSAM,2006,0
ASSAM,2007,0
ASSAM,2008,0
ASSAM,2009,0
ASSAM,2010,237
ASSAM,2011,0
ASSAM,2012,262
ASSAM,2013,0
ASSAM,2014,0
ASSAM,2015,1076
ASSAM,2016,6157
ASSAM,2017,5024
ASSAM,2018,166
ASSAM,2019,196
ASSAM,2020,33
ASSAM,2021,103
ASSAM,2022,1826
ASSAM,2023,8208
ASSAM,2024,2271
BIHAR,2000,0
BIHAR,2001,0
BIHAR,2002,0
BIHAR,2003,0
BIHAR,2004,0
BIHAR,2005,0
BIHAR,2006,0
BIHAR,2007,0
BIHAR,2008,0
BIHAR,2009,1
BIHAR,2010,510
BIHAR,2011,21
BIHAR,2012,101
BIHAR,2013,0
BIHAR,2014,0
BIHAR,2015,1771
BIHAR,2016,1912
BIHAR,2017,1854
BIHAR,2018,2142
BIHAR,2019,6712
BIHAR,2020,493
BIHAR,2021,633
BIHAR,2022,13972
BIHAR,2023,20224
BIHAR,2024,10157
CHANDIGARH,2000,0
CHANDIGARH,2001,0
CHANDIGARH,2002,15
CHANDIGARH,2003,0
CHANDIGARH,2004,0
CHANDIGARH,2005,2
CHANDIGARH,2006,182
CHANDIGARH,2007,99
CHANDIGARH,2008,167
CHANDIGARH,2009,25
CHANDIGARH,2010,221
CHANDIGARH,2011,73
CHANDIGARH,2012,341
CHANDIGARH,2013,0
CHANDIGARH,2014,0
CHANDIGARH,2015,966
CHANDIGARH,2016,1246
CHANDIGARH,2017,1125
CHANDIGARH,2018,301
CHANDIGARH,2019,286
CHANDIGARH,2020,265
CHANDIGARH,2021,1596
CHANDIGARH,2022,910
CHANDIGARH,2023,454
CHANDIGARH,2024,349
CHHATTISGARH,2000,0
CHHATTISGARH,2001,0
CHHATTISGARH,2002,0
CHHATTISGARH,2003,0
CHHATTISGARH,2004,0
CHHATTISGARH,2005,0
CHHATTISGARH,2006,0
CHHATTISGARH,2007,0
CHHATTISGARH,2008,0
CHHATTISGARH,2009,26
CHHATTISGARH,2010,4
CHHATTISGARH,2011,313
CHHATTISGARH,2012,1
CHHATTISGARH,2013,0
CHHATTISGARH,2014,0
CHHATTISGARH,2015,384
CHHATTISGARH,2016,356
CHHATTISGARH,2017,444
CHHATTISGARH,2018,2674
CHHATTISGARH,2019,722
CHHATTISGARH,2020,57
CHHATTISGARH,2021,1086
CHHATTISGARH,2022,2679
CHHATTISGARH,2023,2412
CHHATTISGARH,2024,3523
DADRA AND NAGAR HAVELI,2000,0
DADRA AND NAGAR HAVELI,2001,0
DADRA AND NAGAR HAVELI,2002,0
DADRA AND NAGAR HAVELI,2003,0
DADRA AND NAGAR HAVELI,2004,0
DADRA AND NAGAR HAVELI,2005,0
DADRA AND NAGAR HAVELI,2006,0
DADRA AND NAGAR HAVELI,2007,0
DADRA AND NAGAR HAVELI,2008,0
DADRA AND NAGAR HAVELI,2009,0
DADRA AND NAGAR HAVELI,2010,46
DADRA AND NAGAR HAVELI,2011,68
DADRA AND NAGAR HAVELI,2012,138
DADRA AND NAGAR HAVELI,2013,0
DADRA AND NAGAR HAVELI,2014,0
DADRA AND NAGAR HAVELI,2015,1154
DADRA AND NAGAR HAVELI,2016,4161
DADRA AND NAGAR HAVELI,2017,2064
DADRA AND NAGAR HAVELI,2018,493
DADRA AND NAGAR HAVELI,2019,1491
DADRA AND NAGAR HAVELI,2020,248
DADRA AND NAGAR HAVELI,2021,547
DADRA AND NAGAR HAVELI,2022,685
DADRA AND NAGAR HAVELI,2023,1178
DADRA AND NAGAR HAVELI,2024,403
DAMAN AND DIU,2000,0
DAMAN AND DIU,2001,0
DAMAN AND DIU,2002,0
DAMAN AND DIU,2003,0
DAMAN AND DIU,2004,0
DAMAN AND DIU,2005,0
DAMAN AND DIU,2006,0
DAMAN AND DIU,2007,0
DAMAN AND DIU,2008,0
DAMAN AND DIU,2009,0
DAMAN AND DIU,2010,0
DAMAN AND DIU,2011,0
DAMAN AND DIU,2012,54
DAMAN AND DIU,2013,0
DAMAN AND DIU,2014,0
DAMAN AND DIU,2015,165
DAMAN AND DIU,2016,89
DAMAN AND DIU,2017,59
DAMAN AND DIU,2018,163
DAMAN AND DIU,2019,625
DAMAN AND DIU,2020,71
DAMAN AND DIU,2021,279
DAMAN AND DIU,2022,228
DAMAN AND DIU,2023,284
DAMAN AND DIU,2024,278
DELHI,2000,180
DELHI,2001,322
DELHI,2002,45
DELHI,2003,2882
DELHI,2004,606
DELHI,2005,1023
DELHI,2006,3366
DELHI,2007,548
DELHI,2008,1312
DELHI,2009,1153
DELHI,2010,6259
DELHI,2011,1131
DELHI,2012,1980
DELHI,2013,0
DELHI,2014,0
DELHI,2015,15867
DELHI,2016,4431
DELHI,2017,9271
DELHI,2018,7136
DELHI,2019,5077
DELHI,2020,1269
DELHI,2021,13089
DELHI,2022,10183
DELHI,2023,16866
DELHI,2024,10585
GOA,2000,0
GOA,2001,1
GOA,2002,0
GOA,2003,12
GOA,2004,3
GOA,2005,1
GOA,2006,1
GOA,2007,36
GOA,2008,43
GOA,2009,277
GOA,2010,242
GOA,2011,26
GOA,2012,36
GOA,2013,0
GOA,2014,0
GOA,2015,293
GOA,2016,150
GOA,2017,235
GOA,2018,335
GOA,2019,992
GOA,2020,376
GOA,2021,649
GOA,2022,443
GOA,2023,512
GOA,2024,567
GUJARAT,2000,29
GUJARAT,2001,69
GUJARAT,2002,40
GUJARAT,2003,249
GUJARAT,2004,117
GUJARAT,2005,454
GUJARAT,2006,545
GUJARAT,2007,570
GUJARAT,2008,1065
GUJARAT,2009,2461
GUJARAT,2010,2568
GUJARAT,2011,1693
GUJARAT,2012,1461
GUJARAT,2013,0
GUJARAT,2014,0
GUJARAT,2015,5590
GUJARAT,2016,8028
GUJARAT,2017,4753
GUJARAT,2018,7579
GUJARAT,2019,18219
GUJARAT,2020,1564
GUJARAT,2021,10983
GUJARAT,2022,6682
GUJARAT,2023,7222
GUJARAT,2024,7891
HARYANA,2000,2
HARYANA,2001,260
HARYANA,2002,3
HARYANA,2003,95
HARYANA,2004,25
HARYANA,2005,183
HARYANA,2006,838
HARYANA,2007,365
HARYANA,2008,1137
HARYANA,2009,125
HARYANA,2010,866
HARYANA,2011,267
HARYANA,2012,704
HARYANA,2013,0
HARYANA,2014,0
HARYANA,2015,9921
HARYANA,2016,2493
HARYANA,2017,4550
HARYANA,2018,1898
HARYANA,2019,1207
HARYANA,2020,1377
HARYANA,2021,11835
HARYANA,2022,8996
HARYANA,2023,8081
HARYANA,2024,6469
HIMACHAL PRADESH,2000,0
HIMACHAL PRADESH,2001,0
HIMACHAL PRADESH,2002,0
HIMACHAL PRADESH,2003,0
HIMACHAL PRADESH,2004,0
HIMACHAL PRADESH,2005,0
HIMACHAL PRADESH,2006,0
HIMACHAL PRADESH,2007,0
HIMACHAL PRADESH,2008,0
HIMACHAL PRADESH,2009,0
HIMACHAL PRADESH,2010,3
HIMACHAL PRADESH,2011,0
HIMACHAL PRADESH,2012,0
HIMACHAL PRADESH,2013,0
HIMACHAL PRADESH,2014,0
HIMACHAL PRADESH,2015,19
HIMACHAL PRADESH,2016,322
HIMACHAL PRADESH,2017,452
HIMACHAL PRADESH,2018,4672
HIMACHAL PRADESH,2019,344
HIMACHAL PRADESH,2020,21
HIMACHAL PRADESH,2021,349
HIMACHAL PRADESH,2022,3326
HIMACHAL PRADESH,2023,1989
HIMACHAL PRADESH,2024,3359
JAMMU AND KASHMIR,2000,0
JAMMU AND KASHMIR,2001,0
JAMMU AND KASHMIR,2002,0
JAMMU AND KASHMIR,2003,0
JAMMU AND KASHMIR,2004,0
JAMMU AND KASHMIR,2005,0
JAMMU AND KASHMIR,2006,0
JAMMU AND KASHMIR,2007,0
JAMMU AND KASHMIR,2008,0
JAMMU AND KASHMIR,2009,2
JAMMU AND KASHMIR,2010,0
JAMMU AND KASHMIR,2011,3
JAMMU AND KASHMIR,2012,16
JAMMU AND KASHMIR,2013,0
JAMMU AND KASHMIR,2014,0
JAMMU AND KASHMIR,2015,153
JAMMU AND KASHMIR,2016,79
JAMMU AND KASHMIR,2017,488
JAMMU AND KASHMIR,2018,214
JAMMU AND KASHMIR,2019,439
JAMMU AND KASHMIR,2020,53
JAMMU AND KASHMIR,2021,1709
JAMMU AND KASHMIR,2022,8269
JAMMU AND KASHMIR,2023,6403
JAMMU AND KASHMIR,2024,6876
JHARKHAND,2000,0
JHARKHAND,2001,0
JHARKHAND,2002,0
JHARKHAND,2003,0
JHARKHAND,2004,0
JHARKHAND,2005,0
JHARKHAND,2006,0
JHARKHAND,2007,0
JHARKHAND,2008,0
JHARKHAND,2009,0
JHARKHAND,2010,27
JHARKHAND,2011,36
JHARKHAND,2012,42
JHARKHAND,2013,0
JHARKHAND,2014,0
JHARKHAND,2015,102
JHARKHAND,2016,414
JHARKHAND,2017,710
JHARKHAND,2018,463
JHARKHAND,2019,825
JHARKHAND,2020,79
JHARKHAND,2021,220
JHARKHAND,2022,290
JHARKHAND,2023,2578
JHARKHAND,2024,1528
KARNATAKA,2000,196
KARNATAKA,2001,220
KARNATAKA,2002,428
KARNATAKA,2003,1226
KARNATAKA,2004,291
KARNATAKA,2005,587
KARNATAKA,2006,109
KARNATAKA,2007,230
KARNATAKA,2008,339
KARNATAKA,2009,1764
KARNATAKA,2010,2285
KARNATAKA,2011,405
KARNATAKA,2012,3640
KARNATAKA,2013,0
KARNATAKA,2014,0
KARNATAKA,2015,5077
KARNATAKA,2016,6083
KARNATAKA,2017,17844
KARNATAKA,2018,4427
KARNATAKA,2019,16986
KARNATAKA,2020,3823
KARNATAKA,2021,7393
KARNATAKA,2022,9889
KARNATAKA,2023,19300
KARNATAKA,2024,32886
KERALA,2000,0
KERALA,2001,41
KERALA,2002,219
KERALA,2003,3546
KERALA,2004,686
KERALA,2005,1028
KERALA,2006,981
KERALA,2007,603
KERALA,2008,733
KERALA,2009,1425
KERALA,2010,2597
KERALA,2011,1304
KERALA,2012,3760
KERALA,2013,0
KERALA,2014,0
KERALA,2015,4075
KERALA,2016,7439
KERALA,2017,19994
KERALA,2018,4083
KERALA,2019,4652
KERALA,2020,4399
KERALA,2021,3251
KERALA,2022,4432
KERALA,2023,17426
KERALA,2024,20674
LAKSHADWEEP,2000,0
LAKSHADWEEP,2001,0
LAKSHADWEEP,2002,0
LAKSHADWEEP,2003,0
LAKSHADWEEP,2004,0
LAKSHADWEEP,2005,0
LAKSHADWEEP,2006,0
LAKSHADWEEP,2007,0
LAKSHADWEEP,2008,0
LAKSHADWEEP,2009,0
LAKSHADWEEP,2010,0
LAKSHADWEEP,2011,0
LAKSHADWEEP,2012,0
LAKSHADWEEP,2013,0
LAKSHADWEEP,2014,0
LAKSHADWEEP,2015,0
LAKSHADWEEP,2016,0
LAKSHADWEEP,2017,0
LAKSHADWEEP,2018,0
LAKSHADWEEP,2019,0
LAKSHADWEEP,2020,0
LAKSHADWEEP,2021,1
LAKSHADWEEP,2022,67
LAKSHADWEEP,2023,445
LAKSHADWEEP,2024,513
MADHYA PRADESH,2000,0
MADHYA PRADESH,2001,0
MADHYA PRADESH,2002,0
MADHYA PRADESH,2003,0
MADHYA PRADESH,2004,0
MADHYA PRADESH,2005,0
MADHYA PRADESH,2006,16
MADHYA PRADESH,2007,51
MADHYA PRADESH,2008,3
MADHYA PRADESH,2009,1467
MADHYA PRADESH,2010,175
MADHYA PRADESH,2011,50
MADHYA PRADESH,2012,139
MADHYA PRADESH,2013,0
MADHYA PRADESH,2014,0
MADHYA PRADESH,2015,2108
MADHYA PRADESH,2016,3150
MADHYA PRADESH,2017,2666
MADHYA PRADESH,2018,4506
MADHYA PRADESH,2019,4189
MADHYA PRADESH,2020,806
MADHYA PRADESH,2021,15592
MADHYA PRADESH,2022,3318
MADHYA PRADESH,2023,6979
MADHYA PRADESH,2024,10224
MAHARASHTRA,2000,66
MAHARASHTRA,2001,54
MAHARASHTRA,2002,370
MAHARASHTRA,2003,772
MAHARASHTRA,2004,856
MAHARASHTRA,2005,349
MAHARASHTRA,2006,736
MAHARASHTRA,2007,614
MAHARASHTRA,2008,743
MAHARASHTRA,2009,2255
MAHARASHTRA,2010,1489
MAHARASHTRA,2011,1138
MAHARASHTRA,2012,1731
MAHARASHTRA,2013,0
MAHARASHTRA,2014,0
MAHARASHTRA,2015,4936
MAHARASHTRA,2016,6792
MAHARASHTRA,2017,7829
MAHARASHTRA,2018,11011
MAHARASHTRA,2019,14907
MAHARASHTRA,2020,3356
MAHARASHTRA,2021,12720
MAHARASHTRA,2022,8578
MAHARASHTRA,2023,19034
MAHARASHTRA,2024,19385
MANIPUR,2000,0
MANIPUR,2001,0
MANIPUR,2002,0
MANIPUR,2003,0
MANIPUR,2004,0
MANIPUR,2005,0
MANIPUR,2006,0
MANIPUR,2007,51
MANIPUR,2008,0
MANIPUR,2009,0
MANIPUR,2010,7
MANIPUR,2011,220
MANIPUR,2012,6
MANIPUR,2013,0
MANIPUR,2014,0
MANIPUR,2015,52
MANIPUR,2016,51
MANIPUR,2017,193
MANIPUR,2018,14
MANIPUR,2019,359
MANIPUR,2020,37
MANIPUR,2021,203
MANIPUR,2022,503
MANIPUR,2023,2548
MANIPUR,2024,2463
MEGHALAYA,2000,0
MEGHALAYA,2001,0
MEGHALAYA,2002,0
MEGHALAYA,2003,0
MEGHALAYA,2004,0
MEGHALAYA,2005,0
MEGHALAYA,2006,0
MEGHALAYA,2007,0
MEGHALAYA,2008,0
MEGHALAYA,2009,0
MEGHALAYA,2010,1
MEGHALAYA,2011,0
MEGHALAYA,2012,11
MEGHALAYA,2013,0
MEGHALAYA,2014,0
MEGHALAYA,2015,13
MEGHALAYA,2016,172
MEGHALAYA,2017,52
MEGHALAYA,2018,44
MEGHALAYA,2019,82
MEGHALAYA,2020,4
MEGHALAYA,2021,129
MEGHALAYA,2022,26
MEGHALAYA,2023,114
MEGHALAYA,2024,74
MIZORAM,2000,0
MIZORAM,2001,0
MIZORAM,2002,0
MIZORAM,2003,0
MIZORAM,2004,0
MIZORAM,2005,0
MIZORAM,2006,0
MIZORAM,2007,0
MIZORAM,2008,0
MIZORAM,2009,0
MIZORAM,2010,0
MIZORAM,2011,0
MIZORAM,2012,6
MIZORAM,2013,0
MIZORAM,2014,0
MIZORAM,2015,43
MIZORAM,2016,580
MIZORAM,2017,136
MIZORAM,2018,68
MIZORAM,2019,42
MIZORAM,2020,67
MIZORAM,2021,83
MIZORAM,2022,1868
MIZORAM,2023,2060
MIZORAM,2024,744
NAGALAND,2000,0
NAGALAND,2001,0
NAGALAND,2002,0
NAGALAND,2003,0
NAGALAND,2004,0
NAGALAND,2005,0
NAGALAND,2006,0
NAGALAND,2007,0
NAGALAND,2008,0
NAGALAND,2009,25
NAGALAND,2010,0
NAGALAND,2011,3
NAGALAND,2012,0
NAGALAND,2013,0
NAGALAND,2014,0
NAGALAND,2015,21
NAGALAND,2016,142
NAGALAND,2017,357
NAGALAND,2018,369
NAGALAND,2019,8
NAGALAND,2020,1
NAGALAND,2021,24
NAGALAND,2022,154
NAGALAND,2023,4943
NAGALAND,2024,42
ODISHA,2000,0
ODISHA,2001,0
ODISHA,2002,0
ODISHA,2003,0
ODISHA,2004,0
ODISHA,2005,0
ODISHA,2006,0
ODISHA,2007,0
ODISHA,2008,0
ODISHA,2009,0
ODISHA,2010,29
ODISHA,2011,1816
ODISHA,2012,2196
ODISHA,2013,0
ODISHA,2014,0
ODISHA,2015,2450
ODISHA,2016,8380
ODISHA,2017,4158
ODISHA,2018,5198
ODISHA,2019,3758
ODISHA,2020,496
ODISHA,2021,7548
ODISHA,2022,7063
ODISHA,2023,12845
ODISHA,2024,9892
PUDUCHERRY,2000,0
PUDUCHERRY,2001,0
PUDUCHERRY,2002,0
PUDUCHERRY,2003,6
PUDUCHERRY,2004,0
PUDUCHERRY,2005,0
PUDUCHERRY,2006,0
PUDUCHERRY,2007,274
PUDUCHERRY,2008,35
PUDUCHERRY,2009,66
PUDUCHERRY,2010,96
PUDUCHERRY,2011,463
PUDUCHERRY,2012,1102
PUDUCHERRY,2013,0
PUDUCHERRY,2014,0
PUDUCHERRY,2015,771
PUDUCHERRY,2016,490
PUDUCHERRY,2017,4568
PUDUCHERRY,2018,592
PUDUCHERRY,2019,2030
PUDUCHERRY,2020,633
PUDUCHERRY,2021,1625
PUDUCHERRY,2022,1673
PUDUCHERRY,2023,2790
PUDUCHERRY,2024,2128
PUNJAB,2000,91
PUNJAB,2001,49
PUNJAB,2002,27
PUNJAB,2003,848
PUNJAB,2004,52
PUNJAB,2005,251
PUNJAB,2006,1166
PUNJAB,2007,28
PUNJAB,2008,4349
PUNJAB,2009,245
PUNJAB,2010,4012
PUNJAB,2011,3921
PUNJAB,2012,702
PUNJAB,2013,0
PUNJAB,2014,0
PUNJAB,2015,14128
PUNJAB,2016,10439
PUNJAB,2017,15398
PUNJAB,2018,14980
PUNJAB,2019,10289
PUNJAB,2020,8435
PUNJAB,2021,23389
PUNJAB,2022,11030
PUNJAB,2023,13687
PUNJAB,2024,6260
RAJASTHAN,2000,0
RAJASTHAN,2001,1452
RAJASTHAN,2002,325
RAJASTHAN,2003,685
RAJASTHAN,2004,207
RAJASTHAN,2005,370
RAJASTHAN,2006,1805
RAJASTHAN,2007,540
RAJASTHAN,2008,682
RAJASTHAN,2009,1389
RAJASTHAN,2010,1823
RAJASTHAN,2011,1072
RAJASTHAN,2012,906
RAJASTHAN,2013,0
RAJASTHAN,2014,0
RAJASTHAN,2015,4043
RAJASTHAN,2016,5292
RAJASTHAN,2017,8427
RAJASTHAN,2018,9587
RAJASTHAN,2019,13706
RAJASTHAN,2020,2023
RAJASTHAN,2021,20749
RAJASTHAN,2022,13491
RAJASTHAN,2023,13924
RAJASTHAN,2024,12514
SIKKIM,2000,0
SIKKIM,2001,0
SIKKIM,2002,0
SIKKIM,2003,0
SIKKIM,2004,0
SIKKIM,2005,0
SIKKIM,2006,0
SIKKIM,2007,0
SIKKIM,2008,0
SIKKIM,2009,0
SIKKIM,2010,0
SIKKIM,2011,2
SIKKIM,2012,2
SIKKIM,2013,0
SIKKIM,2014,0
SIKKIM,2015,21
SIKKIM,2016,82
SIKKIM,2017,312
SIKKIM,2018,320
SIKKIM,2019,444
SIKKIM,2020,11
SIKKIM,2021,243
SIKKIM,2022,264
SIKKIM,2023,311
SIKKIM,2024,374
TAMIL NADU,2000,81
TAMIL NADU,2001,816
TAMIL NADU,2002,392
TAMIL NADU,2003,1600
TAMIL NADU,2004,1027
TAMIL NADU,2005,1142
TAMIL NADU,2006,477
TAMIL NADU,2007,707
TAMIL NADU,2008,530
TAMIL NADU,2009,1072
TAMIL NADU,2010,2051
TAMIL NADU,2011,2501
TAMIL NADU,2012,9249
TAMIL NADU,2013,0
TAMIL NADU,2014,0
TAMIL NADU,2015,4535
TAMIL NADU,2016,2531
TAMIL NADU,2017,23294
TAMIL NADU,2018,4486
TAMIL NADU,2019,8527
TAMIL NADU,2020,2410
TAMIL NADU,2021,6039
TAMIL NADU,2022,6430
TAMIL NADU,2023,9121
TAMIL NADU,2024,27378
TELANGANA,2000,0
TELANGANA,2001,0
TELANGANA,2002,0
TELANGANA,2003,0
TELANGANA,2004,0
TELANGANA,2005,0
TELANGANA,2006,0
TELANGANA,2007,0
TELANGANA,2008,0
TELANGANA,2009,0
TELANGANA,2010,0
TELANGANA,2011,0
TELANGANA,2012,0
TELANGANA,2013,0
TELANGANA,2014,0
TELANGANA,2015,1831
TELANGANA,2016,4037
TELANGANA,2017,5369
TELANGANA,2018,4592
TELANGANA,2019,13331
TELANGANA,2020,2173
TELANGANA,2021,7135
TELANGANA,2022,8972
TELANGANA,2023,8016
TELANGANA,2024,10077
TRIPURA,2000,0
TRIPURA,2001,0
TRIPURA,2002,0
TRIPURA,2003,0
TRIPURA,2004,0
TRIPURA,2005,0
TRIPURA,2006,0
TRIPURA,2007,0
TRIPURA,2008,0
TRIPURA,2009,0
TRIPURA,2010,0
TRIPURA,2011,0
TRIPURA,2012,0
TRIPURA,2013,0
TRIPURA,2014,0
TRIPURA,2015,40
TRIPURA,2016,102
TRIPURA,2017,127
TRIPURA,2018,100
TRIPURA,2019,114
TRIPURA,2020,24
TRIPURA,2021,349
TRIPURA,2022,56
TRIPURA,2023,1447
TRIPURA,2024,1198
UTTAR PRADESH,2000,0
UTTAR PRADESH,2001,21
UTTAR PRADESH,2002,0
UTTAR PRADESH,2003,738
UTTAR PRADESH,2004,8
UTTAR PRADESH,2005,121
UTTAR PRADESH,2006,639
UTTAR PRADESH,2007,132
UTTAR PRADESH,2008,51
UTTAR PRADESH,2009,168
UTTAR PRADESH,2010,960
UTTAR PRADESH,2011,155
UTTAR PRADESH,2012,240
UTTAR PRADESH,2013,0
UTTAR PRADESH,2014,0
UTTAR PRADESH,2015,2892
UTTAR PRADESH,2016,15033
UTTAR PRADESH,2017,3092
UTTAR PRADESH,2018,3829
UTTAR PRADESH,2019,10557
UTTAR PRADESH,2020,3715
UTTAR PRADESH,2021,29750
UTTAR PRADESH,2022,19821
UTTAR PRADESH,2023,35402
UTTAR PRADESH,2024,15868
UTTARAKHAND,2000,0
UTTARAKHAND,2001,0
UTTARAKHAND,2002,0
UTTARAKHAND,2003,0
UTTARAKHAND,2004,0
UTTARAKHAND,2005,0
UTTARAKHAND,2006,0
UTTARAKHAND,2007,0
UTTARAKHAND,2008,0
UTTARAKHAND,2009,0
UTTARAKHAND,2010,178
UTTARAKHAND,2011,454
UTTARAKHAND,2012,110
UTTARAKHAND,2013,0
UTTARAKHAND,2014,0
UTTARAKHAND,2015,1655
UTTARAKHAND,2016,2146
UTTARAKHAND,2017,849
UTTARAKHAND,2018,689
UTTARAKHAND,2019,10622
UTTARAKHAND,2020,76
UTTARAKHAND,2021,738
UTTARAKHAND,2022,2337
UTTARAKHAND,2023,4320
UTTARAKHAND,2024,494
WEST BENGAL,2000,0
WEST BENGAL,2001,0
WEST BENGAL,2002,0
WEST BENGAL,2003,0
WEST BENGAL,2004,32
WEST BENGAL,2005,6375
WEST BENGAL,2006,1230
WEST BENGAL,2007,95
WEST BENGAL,2008,1038
WEST BENGAL,2009,399
WEST BENGAL,2010,805
WEST BENGAL,2011,510
WEST BENGAL,2012,6225
WEST BENGAL,2013,0
WEST BENGAL,2014,0
WEST BENGAL,2015,8516
WEST BENGAL,2016,22865
WEST BENGAL,2017,37746
WEST BENGAL,2018,0
WEST BENGAL,2019,0
WEST BENGAL,2020,5166
WEST BENGAL,2021,8264
WEST BENGAL,2022,67271
WEST BENGAL,2023,30683
WEST BENGAL,2024,441
